customer_id,customer_name,gender,age,city,signup_date
10,Customer_10,NULL,26,Bangalore,10-08-2021
14,Customer_14,Female,30,Hyderabad,14-07-2018
15,Customer_15,Male,56,Pune,11-10-2019
16,Customer_16,NULL,47,Mumbai,03-03-2019
18,Customer_18,Male,42,Pune,06-05-2022
21,Customer_21,Female,31,Mumbai,30-08-2019
22,Customer_22,Male,33,Pune,08-01-2019
24,Customer_24,Female,25,Delhi,05-09-2021
25,Customer_25,Female,19,Delhi,17-04-2023
28,Customer_28,Male,24,Mumbai,07-07-2021
30,Customer_30,Male,60,Bangalore,16-03-2019
32,Customer_32,Male,46,Hyderabad,05-07-2019
33,Customer_33,Male,51,Hyderabad,16-08-2022
37,Customer_37,Female,58,Pune,06-11-2020
40,Customer_40,Female,68,Bangalore,19-06-2019
41,Customer_41,Male,24,Pune,21-02-2021
42,Customer_42,Male,64,Delhi,09-11-2019
44,Customer_44,Female,51,Mumbai,11-06-2018
46,Customer_46,Male,30,Hyderabad,23-07-2019
47,Customer_47,Male,58,Mumbai,14-10-2020
48,Customer_48,Female,63,Hyderabad,02-12-2021
49,Customer_49,NULL,41,Mumbai,30-11-2021
51,Customer_51,Female,24,Pune,12-09-2024
53,Customer_53,NULL,60,Bangalore,11-09-2023
54,Customer_54,Male,48,Hyderabad,19-10-2020
55,Customer_55,Female,66,Hyderabad,25-04-2019
57,Customer_57,Male,37,Mumbai,02-01-2020
58,Customer_58,NULL,48,Delhi,08-03-2019
61,Customer_61,Male,41,Delhi,27-10-2024
62,Customer_62,Male,58,Pune,04-01-2018
63,Customer_63,Female,29,Mumbai,06-06-2018
64,Customer_64,Male,27,Hyderabad,02-09-2022
65,Customer_65,Male,22,Mumbai,14-03-2023
66,Customer_66,NULL,25,Pune,26-07-2020
75,Customer_75,NULL,25,Hyderabad,17-07-2018
81,Customer_81,NULL,19,Hyderabad,15-09-2019
82,Customer_82,Female,68,Hyderabad,24-10-2019
85,Customer_85,Male,50,Pune,20-02-2024
87,Customer_87,Female,27,Bangalore,23-06-2024
